Time,Variable,AssetId,Value
2019-11-25 13:12:17.4830000,power,abc123xyz,-418.7760009
2019-11-25 13:12:21.1680000,power,abc123xyz,-420.4700012
2019-11-25 13:12:25.7970000,power,abc123xyz,-418.2850036
2019-11-25 13:12:27.9000000,power,abc123xyz,-416.6799926
2019-11-25 11:57:07.5160000,power,abc123xyz,-417.6159973
2019-11-25 11:57:15.4430000,power,abc123xyz,-421.2279968
2019-11-25 11:57:28.5070000,power,abc123xyz,-422.2529907
2019-11-25 11:57:34.5760000,power,abc123xyz,-424.0820007
2019-11-25 11:57:36.1820000,power,abc123xyz,-420.9159851
2019-11-25 11:57:38.1890000,power,abc123xyz,-419.5780029
2019-11-25 11:57:42.8830000,power,abc123xyz,-425.7309875
2019-11-25 11:57:44.3530000,power,abc123xyz,-429.7890014
2019-11-25 11:57:45.7610000,power,abc123xyz,-427.1140136
2019-11-25 11:57:47.2420000,power,abc123xyz,-429.8330078
2019-11-25 11:57:49.4010000,power,abc123xyz,-435.9869995
2019-11-25 11:57:51.2600000,power,abc123xyz,-421.9410095
2019-11-25 11:57:59.1960000,power,abc123xyz,-423.0559997
2019-11-25 11:58:01.5600000,power,abc123xyz,-421.4509887
2019-11-25 11:58:05.3260000,power,abc123xyz,-423.9030151
2019-11-25 11:58:06.7780000,power,abc123xyz,-421.316986
2019-11-25 11:58:09.7980000,power,abc123xyz,-422.9670104
2019-11-25 11:58:10.9510000,power,abc123xyz,-420.9599914
2019-11-25 11:58:12.4680000,power,abc123xyz,-421.9859924
2019-11-25 11:58:15.0160000,power,abc123xyz,-423.9030151
2019-11-25 11:58:16.2180000,power,abc123xyz,-421.717987
2019-11-25 11:58:19.2060000,power,abc123xyz,-423.3680114
2019-11-25 11:58:20.7300000,power,abc123xyz,-421.316986
2019-11-25 11:58:21.8420000,power,abc123xyz,-433.4010009
2019-11-25 11:58:24.3730000,power,abc123xyz,-436.2990112
2019-11-25 11:58:25.5860000,power,abc123xyz,-432.4639892
2019-11-25 11:58:26.8210000,power,abc123xyz,-424.0369873
2019-11-25 11:58:28.9930000,power,abc123xyz,-419.5780029
2019-11-25 11:58:34.7390000,power,abc123xyz,-422.2529907
2019-11-25 11:58:36.7330000,power,abc123xyz,-418.4190063
2019-11-25 11:58:40.1100000,power,abc123xyz,-421.0050048
2019-11-25 11:58:45.0280000,power,abc123xyz,-422.1199951
